==================================================
HEADER
File name: peer_-AA0001-Yyf788BMxpHy.log
Creation Date/Time: 2026-08-08 12:06:08
Last Modified Date/Time: 2026-08-08 12:17:33
==================================================
BODY
Event Type      | Date/Time            | Description
HEARTBEAT_SYNC  | 2026-08-08 12:16:44  | Initiating periodic ping to 2 known peers
PING_SEND       | 2026-08-08 12:16:44  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:16:44  | [Heartbeat] Received PONG from 127.0.0.1:6881 | RTT: 21.67 ms
PING_SEND       | 2026-08-08 12:16:44  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 12:16:44  | [Heartbeat] Received PONG from 127.0.0.1:6883 | RTT: 15.81 ms
ANNOUNCE        | 2026-08-08 12:16:47  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:16:48  | [Transferring_These_Files] Sending periodic update to tracker...
ERROR           | 2026-08-08 12:16:49  | [Transferring_These_Files/sample3.png] Periodic announce failed: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>
ERROR           | 2026-08-08 12:16:50  | [Transferring_These_Files] Periodic announce failed: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>
PING_RECV       | 2026-08-08 12:16:53  | Received PING from ('127.0.0.1', 8562)
PING_RECV       | 2026-08-08 12:17:01  | Received PING from ('127.0.0.1', 8567)
HEARTBEAT_SYNC  | 2026-08-08 12:17:14  | Initiating periodic ping to 2 known peers
PING_SEND       | 2026-08-08 12:17:14  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:17:14  | [Heartbeat] Received PONG from 127.0.0.1:6881 | RTT: 15.96 ms
PING_SEND       | 2026-08-08 12:17:14  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 12:17:14  | [Heartbeat] Received PONG from 127.0.0.1:6883 | RTT: 11.34 ms
ANNOUNCE        | 2026-08-08 12:17:19  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:17:20  | [Transferring_These_Files] Sending periodic update to tracker...
ERROR           | 2026-08-08 12:17:21  | [Transferring_These_Files/sample3.png] Periodic announce failed: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>
ERROR           | 2026-08-08 12:17:22  | [Transferring_These_Files] Periodic announce failed: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>
PING_RECV       | 2026-08-08 12:17:23  | Received PING from ('127.0.0.1', 8587)
PING_RECV       | 2026-08-08 12:17:31  | Received PING from ('127.0.0.1', 8596)
SHUTDOWN_INIT   | 2026-08-08 12:17:33  | Keyboard interrupt received. Deregistering from tracker.
