==================================================
HEADER
File name: peer_-AA0001-lyY8i2fmn47q.log
Creation Date/Time: 2026-08-08 13:10:47
Last Modified Date/Time: 2026-08-08 13:45:05
==================================================
BODY
Event Type      | Date/Time            | Description
PING_RECV       | 2026-08-08 13:25:17  | Received PING from ('127.0.0.1', 11606)
ANNOUNCE        | 2026-08-08 13:25:19  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 13:25:20  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 13:25:22  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 13:25:22  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6882
PING_SUCCESS    | 2026-08-08 13:25:22  | [Heartbeat] Received PONG from 127.0.0.1:6882 | RTT: 27.21 ms
PING_RECV       | 2026-08-08 13:25:47  | Received PING from ('127.0.0.1', 11637)
ANNOUNCE        | 2026-08-08 13:25:49  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
SHUTDOWN_INIT   | 2026-08-08 13:25:50  | Keyboard interrupt received. Deregistering from tracker.
PORT_BUSY       | 2026-08-08 13:26:04  | Port 6881 in use. Trying next...
PORT_BUSY       | 2026-08-08 13:26:04  | Port 6882 in use. Trying next...
LISTENER_START  | 2026-08-08 13:26:04  | Peer listening for direct connections on port 6883
FILE_CHECK      | 2026-08-08 13:26:05  | Determined status as SEEDER for Transferring_These_Files/sample3.png
HANDSHAKE_SEND  | 2026-08-08 13:26:05  | [Transferring_These_Files/sample3.png] Initiating handshake with 127.0.0.1:6882
HANDSHAKE_SUCCESS | 2026-08-08 13:26:05  | [Transferring_These_Files/sample3.png] Handshake successful with -AA0001-WL99b7svcXnQ
MSG_RECV        | 2026-08-08 13:26:05  | Received Bitfield from 127.0.0.1:6882
FILE_CHECK      | 2026-08-08 13:26:06  | Determined status as LEECHER for Transferring_These_Files
HANDSHAKE_SEND  | 2026-08-08 13:26:06  | [Transferring_These_Files] Initiating handshake with 127.0.0.1:6882
HANDSHAKE_SUCCESS | 2026-08-08 13:26:06  | [Transferring_These_Files] Handshake successful with -AA0001-WL99b7svcXnQ
MSG_RECV        | 2026-08-08 13:26:06  | Received Bitfield from 127.0.0.1:6882
SYSTEM_READY    | 2026-08-08 13:26:07  | All torrent threads processed. Entering heartbeat loop.
